Series_Title,Released_Year,Genre,IMDB_Rating,Overview,No_of_Votes,Gross,Movie_Success,Average IMBD Rating by Gener,Unnamed: 9,sentiment_score,sentiment
Gisaengchung,2019,"Comedy, Drama, Thriller",8.6,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,552778,53367844.0,Average,"Action, Comedy, Mystery",7.8,-0.4215,Negative
Interstellar,2014,"Adventure, Drama, Sci-Fi",8.6,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,1512360,188020017.0,Hit,"Action, Comedy, Romance",8.2,0.3818,Positive
Cidade de Deus,2002,"Crime, Drama",8.6,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",699256,7563397.0,Average,"Action, Crime, Comedy",8,-0.3612,Negative
Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family",8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",651376,10055859.0,Average,"Action, Crime, Drama",172.8,-0.4019,Negative
Saving Private Ryan,1998,"Drama, War",8.6,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",1235804,216540909.0,Hit,"Action, Crime, Mystery",7.6,-0.8402,Negative
The Green Mile,1999,"Crime, Drama, Fantasy",8.6,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",1147794,136801374.0,Hit,"Action, Crime, Thriller",46.7,-0.946,Negative
La vita è bella,1997,"Comedy, Drama, Romance",8.6,"When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.",623629,57598247.0,Average,"Action, Drama",31.5,0.4404,Positive
Se7en,1995,"Crime, Drama, Mystery",8.6,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",1445096,100125643.0,Hit,"Action, Drama, History",23.3,-0.8074,Negative
The Silence of the Lambs,1991,"Crime, Drama, Thriller",8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1270197,130742922.0,Hit,"Action, Drama, Mystery",31.8,-0.7579,Negative
Star Wars,1977,"Action, Adventure, Fantasy",8.6,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1231473,322740140.0,Hit,"Action, Drama, Sci-Fi",16.3,0.5267,Positive
Shichinin no samurai,1954,"Action, Adventure, Drama",8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,315744,269061.0,Average,"Action, Drama, Sport",8.2,-0.5423,Negative
Joker,2019,"Crime, Drama, Thriller",8.5,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",939252,335451311.0,Hit,"Action, Drama, War",24.5,-0.836,Negative
Whiplash,2014,"Drama, Music",8.5,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,717585,13092000.0,Average,"Action, Drama, Western",16,0.4939,Positive
The Intouchables,2011,"Biography, Comedy, Drama",8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",760360,13182281.0,Average,"Action, Mystery, Thriller",23.6,-0.4767,Negative
The Prestige,2006,"Drama, Mystery, Sci-Fi",8.5,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",1190259,53089891.0,Average,"Action, Sci-Fi",25.2,-0.6369,Negative
The Departed,2006,"Crime, Drama, Thriller",8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,1189773,132384315.0,Hit,"Action, Sci-Fi, Thriller",16,0.0,Neutral
The Pianist,2002,"Biography, Drama, Music",8.5,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,729603,32572577.0,Average,"Action, Thriller",23.6,-0.8807,Negative
Gladiator,2000,"Action, Adventure, Drama",8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,1341460,187705427.0,Hit,"Adventure, Biography, Crime",7.8,-0.8807,Negative
American History X,1998,Drama,8.5,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,1034705,6719864.0,Average,"Adventure, Biography, Drama",39.9,-0.4588,Negative
The Usual Suspects,1995,"Crime, Mystery, Thriller",8.5,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",991208,23341568.0,Average,"Adventure, Comedy, Crime",15.8,-0.891,Negative
Léon,1994,"Action, Crime, Drama",8.5,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",1035236,19501238.0,Average,"Adventure, Comedy, Drama",55.1,-0.7003,Negative
The Lion King,1994,"Animation, Adventure, Drama",8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",942045,422783777.0,Hit,"Adventure, Comedy, Family",23.2,-0.4215,Negative
Terminator 2: Judgment Day,1991,"Action, Sci-Fi",8.5,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",995506,204843350.0,Hit,"Adventure, Comedy, Fantasy",15.8,-0.2601,Negative
Nuovo Cinema Paradiso,1988,"Drama, Romance",8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,230763,11990401.0,Average,"Adventure, Comedy, Sci-Fi",16.3,0.7579,Positive
Back to the Future,1985,"Adventure, Comedy, Sci-Fi",8.5,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",1058081,210609762.0,Hit,"Adventure, Comedy, War",7.6,0.2023,Positive
Once Upon a Time in the West,1968,Western,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,302844,5321508.0,Average,"Adventure, Drama",16,0.6369,Positive
Psycho,1960,"Horror, Mystery, Thriller",8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",604211,32000000.0,Average,"Adventure, Drama, Fantasy",47.4,-0.0516,Negative
Casablanca,1942,"Drama, Romance, War",8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,522093,1024560.0,Average,"Adventure, Drama, History",23.9,-0.2163,Negative
Modern Times,1936,"Comedy, Drama, Family",8.5,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,217881,163245.0,Average,"Adventure, Drama, Musical",8.1,0.0516,Positive
City Lights,1931,"Comedy, Drama, Romance",8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",167839,19181.0,Average,"Adventure, Drama, Romance",15.5,0.7845,Positive
Capharnaüm,2018,Drama,8.4,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",62635,1661096.0,Average,"Adventure, Drama, Sci-Fi",24.5,-0.8779,Negative
Kimi no na wa.,2016,"Animation, Drama, Fantasy",8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",194838,5017246.0,Average,"Adventure, Drama, Thriller",24,-0.3182,Negative
Dangal,2016,"Action, Biography, Drama",8.4,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,156479,12391761.0,Average,"Adventure, Drama, War",16.4,0.296,Positive
Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure",8.4,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",375110,190241310.0,Hit,"Adventure, Drama, Western",16.2,-0.5267,Negative
Avengers: Endgame,2019,"Action, Adventure, Drama",8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",809955,858373000.0,Hit,"Adventure, Family, Fantasy",54.5,-0.802,Negative
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",8.4,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,834477,678815482.0,Hit,"Adventure, Fantasy",15.6,-0.7783,Negative
Coco,2017,"Animation, Adventure, Family",8.4,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",384171,209726015.0,Hit,"Adventure, Horror, Sci-Fi",7.9,-0.8658,Negative
Django Unchained,2012,"Drama, Western",8.4,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",1357682,162805434.0,Hit,"Adventure, Mystery, Thriller",8.3,0.5574,Positive
The Dark Knight Rises,2012,"Action, Adventure",8.4,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",1516346,448139099.0,Hit,"Adventure, Sci-Fi",16.3,-0.7845,Negative
3 Idiots,2009,"Comedy, Drama",8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",344445,6532908.0,Average,"Adventure, Thriller",8,0.802,Positive
Taare Zameen Par,2007,"Drama, Family",8.4,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",168895,1223869.0,Average,"Animation, Action, Adventure",79.6,-0.5719,Negative
WALL·E,2008,"Animation, Adventure, Family",8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",999790,223808164.0,Hit,"Animation, Action, Crime",23.7,0.0,Neutral
The Lives of Others,2006,"Drama, Mystery, Thriller",8.4,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",358685,11286112.0,Average,"Animation, Action, Fantasy",7.7,0.5859,Positive
Oldeuboi,2003,"Action, Drama, Mystery",8.4,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",515451,707481.0,Average,"Animation, Action, Sci-Fi",8,-0.4588,Negative
Memento,2000,"Mystery, Thriller",8.4,A man with short-term memory loss attempts to track down his wife's murderer.,1125712,25544867.0,Average,"Animation, Adventure, Comedy",158.5,-0.7845,Negative
Mononoke-hime,1997,"Animation, Action, Adventure",8.4,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",343171,2375308.0,Average,"Animation, Adventure, Drama",32.3,-0.8126,Negative
Once Upon a Time in America,1984,"Crime, Drama",8.4,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",311365,5321508.0,Average,"Animation, Adventure, Family",64,-0.6597,Negative
Raiders of the Lost Ark,1981,"Action, Adventure",8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",884112,248159971.0,Hit,"Animation, Adventure, Fantasy",8.1,0.743,Positive
The Shining,1980,"Drama, Horror",8.4,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",898237,44017374.0,Average,"Animation, Biography, Crime",7.8,-0.9403,Negative
Apocalypse Now,1979,"Drama, Mystery, War",8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,606398,83471511.0,Average,"Animation, Biography, Drama",15.8,0.5859,Positive
Alien,1979,"Horror, Sci-Fi",8.4,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",787806,78900000.0,Average,"Animation, Comedy, Crime",7.6,-0.7506,Negative
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,8.4,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,450474,275902.0,Average,"Animation, Comedy, Drama",7.8,-0.8807,Negative
Witness for the Prosecution,1957,"Crime, Drama, Mystery",8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,108862,8175000.0,Average,"Animation, Comedy, Fantasy",7.7,-0.3612,Negative
Rear Window,1954,"Mystery, Thriller",8.4,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,444074,36764313.0,Average,"Animation, Crime, Mystery",8,-0.2263,Negative
The Great Dictator,1940,"Comedy, Drama, War",8.4,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,203150,288475.0,Average,"Animation, Drama, Family",15.4,-0.4588,Negative
1917,2019,"Drama, Thriller, War",8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",425844,159227644.0,Hit,"Animation, Drama, Fantasy",23.9,-0.875,Negative
Andhadhun,2018,"Crime, Drama, Music",8.3,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",71875,1373943.0,Average,"Animation, Drama, Romance",7.6,-0.7351,Negative
Jagten,2012,Drama,8.3,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",281623,687185.0,Average,"Animation, Family, Fantasy",39.5,-0.1779,Negative
Jodaeiye Nader az Simin,2011,Drama,8.3,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,220002,7098492.0,Average,"Animation, Sci-Fi",7.8,0.1027,Positive
Incendies,2010,"Drama, Mystery, War",8.3,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,150023,6857096.0,Average,"Biography, Comedy, Drama",47.6,0.5423,Positive
Inglourious Basterds,2009,"Adventure, Drama, War",8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",1267869,120540719.0,Hit,"Biography, Crime, Drama",119.2,-0.5994,Negative
Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi",8.3,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",911664,34400301.0,Average,"Biography, Drama",87.7,0.0,Neutral
Amélie,2001,"Comedy, Romance",8.3,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",703810,33225499.0,Average,"Biography, Drama, Family",23.4,0.891,Positive
Snatch,2000,"Comedy, Crime",8.3,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",782001,30328156.0,Average,"Biography, Drama, History",183.7,-0.886,Negative
Requiem for a Dream,2000,Drama,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,766870,3635482.0,Average,"Biography, Drama, Music",55,-0.4767,Negative
American Beauty,1999,Drama,8.3,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1069738,130096601.0,Hit,"Biography, Drama, Romance",7.7,0.0258,Neutral
Good Will Hunting,1997,"Drama, Romance",8.3,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",861606,138433435.0,Hit,"Biography, Drama, Sport",70.4,0.6705,Positive
Bacheha-Ye aseman,1997,"Drama, Family, Sport",8.3,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.",65341,933933.0,Average,"Biography, Drama, Thriller",23.5,0.0258,Neutral
Toy Story,1995,"Animation, Adventure, Comedy",8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,887429,191796233.0,Hit,"Biography, Drama, War",7.9,-0.6369,Negative
Braveheart,1995,"Biography, Drama, History",8.3,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,959181,75600000.0,Average,Comedy,101.7,0.4215,Positive
Reservoir Dogs,1992,"Crime, Drama, Thriller",8.3,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",918562,2832029.0,Average,"Comedy, Crime",31.1,-0.8807,Negative
Full Metal Jacket,1987,"Drama, War",8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,675146,46357676.0,Average,"Comedy, Crime, Drama",111.2,-0.9501,Negative
Aliens,1986,"Action, Adventure, Sci-Fi",8.3,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",652719,85160248.0,Average,"Comedy, Crime, Romance",8.1,-0.765,Negative
Amadeus,1984,"Biography, Drama, History",8.3,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",369007,51973029.0,Average,"Comedy, Crime, Sport",8.1,-0.5994,Negative
Scarface,1983,"Crime, Drama",8.3,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",740911,45598982.0,Average,"Comedy, Drama",228,-0.0772,Negative
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",950470,309125409.0,Hit,"Comedy, Drama, Family",48,-0.6194,Negative
Das Boot,1981,"Adventure, Drama, Thriller",8.3,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",231855,11487676.0,Average,"Comedy, Drama, Fantasy",23.6,-0.6908,Negative
Taxi Driver,1976,"Crime, Drama",8.3,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",724636,28262574.0,Average,"Comedy, Drama, Music",23.6,-0.7506,Negative
The Sting,1973,"Comedy, Crime, Drama",8.3,Two grifters team up to pull off the ultimate con.,241513,159600000.0,Hit,"Comedy, Drama, Musical",16.1,0.0,Neutral
A Clockwork Orange,1971,"Crime, Drama, Sci-Fi",8.3,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",757904,6207725.0,Average,"Comedy, Drama, Romance",205.1,-0.25,Negative
2001: A Space Odyssey,1968,"Adventure, Sci-Fi",8.3,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",603517,56954992.0,Average,"Comedy, Drama, Thriller",24.4,0.6908,Positive
Per qualche dollaro in più,1965,Western,8.3,Two bounty hunters with the same intentions team up to track down a Western outlaw.,232772,15000000.0,Average,"Comedy, Drama, War",32.3,0.0,Neutral
Lawrence of Arabia,1962,"Adventure, Biography, Drama",8.3,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",268085,44824144.0,Average,"Comedy, Family",15.5,-0.5267,Negative
The Apartment,1960,"Comedy, Drama, Romance",8.3,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",164363,18600000.0,Average,"Comedy, Family, Fantasy",7.8,0.7096,Positive
North by Northwest,1959,"Adventure, Mystery, Thriller",8.3,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,299198,13275000.0,Average,"Comedy, Fantasy, Romance",23.4,-0.3612,Negative
Vertigo,1958,"Mystery, Romance, Thriller",8.3,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,364368,3200000.0,Average,"Comedy, Horror",15.6,0.4939,Positive
Singin' in the Rain,1952,"Comedy, Musical, Romance",8.3,A silent film production company and cast make a difficult transition to sound.,218957,8819028.0,Average,"Comedy, Music",7.9,-0.3612,Negative
Ikiru,1952,Drama,8.3,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,68463,55240.0,Average,"Comedy, Music, Musical",15.5,-0.6597,Negative
Ladri di biciclette,1948,Drama,8.3,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",146427,332930.0,Average,"Comedy, Music, Romance",8.2,-0.4939,Negative
Double Indemnity,1944,"Crime, Drama, Film-Noir",8.3,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,143525,5720000.0,Average,"Comedy, Musical, Romance",8.3,-0.7506,Negative
Citizen Kane,1941,"Drama, Mystery",8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",403351,1585634.0,Average,"Comedy, Mystery, Romance",7.9,-0.5994,Negative
M - Eine Stadt sucht einen Mörder,1931,"Crime, Mystery, Thriller",8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",143434,28877.0,Average,"Comedy, Romance",32.2,-0.3612,Negative
Metropolis,1927,"Drama, Sci-Fi",8.3,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",159992,1236166.0,Average,"Comedy, Western",7.7,0.6369,Positive
The Kid,1921,"Comedy, Drama, Family",8.3,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",113314,5450000.0,Average,"Crime, Drama",195.8,-0.631,Negative
Chhichhore,2019,"Comedy, Drama",8.2,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",33893,898575.0,Average,"Crime, Drama, Fantasy",16.5,-0.5106,Negative
Uri: The Surgical Strike,2018,"Action, Drama, War",8.2,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",43444,4186168.0,Average,"Crime, Drama, Film-Noir",24.3,-0.8126,Negative
Green Book,2018,"Biography, Comedy, Drama",8.2,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,377884,85080171.0,Average,"Crime, Drama, History",7.8,0.0,Neutral
"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",8.2,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,432610,54513740.0,Average,"Crime, Drama, Music",8.3,-0.7964,Negative
